,scientific_name,park_name,observations,category,conservation_status
10431,Cephalanthus occidentalis,Yosemite National Park,180,Vascular Plant,
10432,Senecio scorzonella,Yosemite National Park,126,Vascular Plant,
10433,Cygnus buccinator,Great Smoky Mountains National Park,34,Bird,Species of Concern
10434,Phacelia vallicola,Yellowstone National Park,265,Vascular Plant,
10435,Verbesina alternifolia,Bryce National Park,60,Vascular Plant,
10436,Delphinium nuttallianum,Yosemite National Park,133,Vascular Plant,
10437,Phlox gracilis,Yellowstone National Park,243,Vascular Plant,
10438,Castilleja rhexiifolia,Great Smoky Mountains National Park,99,Vascular Plant,
10439,Celtis occidentalis,Yellowstone National Park,257,Vascular Plant,
10440,Senecio aureus,Bryce National Park,95,Vascular Plant,
10441,Lycopodium tristachyum,Yellowstone National Park,321,Vascular Plant,
10442,Triteleia ixioides ssp. scabra,Yellowstone National Park,246,Vascular Plant,
10443,Amaranthus spinosus,Yellowstone National Park,245,Vascular Plant,
10444,Pogonia ophioglossoides,Yosemite National Park,169,Vascular Plant,
10445,Verbascum virgatum,Yellowstone National Park,207,Vascular Plant,
10446,Rubus trux,Yellowstone National Park,284,Vascular Plant,
10447,Napaeozapus insignis,Bryce National Park,130,Mammal,
10448,Martes pennanti,Bryce National Park,75,Mammal,
10449,Pentaphylloides floribunda,Bryce National Park,90,Vascular Plant,
10450,Salsola collina,Bryce National Park,111,Vascular Plant,
10451,Calycanthus floridus var. floridus,Great Smoky Mountains National Park,66,Vascular Plant,
10452,Trachemys scripta troostii,Yosemite National Park,150,Reptile,
10453,Cyprinella venustus,Yosemite National Park,139,Fish,
10454,Helianthemum canadense,Yellowstone National Park,256,Vascular Plant,
10455,Phacelia heterophylla ssp. virgata,Great Smoky Mountains National Park,100,Vascular Plant,
10456,Trifolium dubium,Yosemite National Park,280,Vascular Plant,
10457,Prunus virginiana,Bryce National Park,120,Vascular Plant,
10458,Verbena brasiliensis,Great Smoky Mountains National Park,65,Vascular Plant,
10459,Pleopeltis polypodioides,Yosemite National Park,160,Vascular Plant,
10460,Sanicula tuberosa,Great Smoky Mountains National Park,74,Vascular Plant,
10461,Vicia cracca ssp. cracca,Yellowstone National Park,233,Vascular Plant,
10462,Pycnanthemum muticum,Yosemite National Park,174,Vascular Plant,
10463,Prunus virginiana var. melanocarpa,Bryce National Park,86,Vascular Plant,
10464,Isoetes macrospora,Great Smoky Mountains National Park,72,Vascular Plant,
10465,Chaenactis glabriuscula var. heterocarpha,Yellowstone National Park,268,Vascular Plant,
10466,Tauschia hartwegii,Yosemite National Park,138,Vascular Plant,
10467,Arnica fulgens,Great Smoky Mountains National Park,77,Vascular Plant,
10468,Carya glabra,Great Smoky Mountains National Park,78,Vascular Plant,
10469,Senecio canus,Bryce National Park,69,Vascular Plant,
10470,Ranunculus occidentalis,Great Smoky Mountains National Park,69,Vascular Plant,
10471,Hamamelis virginiana,Yosemite National Park,160,Vascular Plant,
10472,Hypericum densiflorum,Bryce National Park,82,Vascular Plant,
10473,Aletris farinosa,Yellowstone National Park,216,Vascular Plant,
10474,Leucopoa kingii,Great Smoky Mountains National Park,60,Vascular Plant,
10475,Claytonia lanceolata,Yosemite National Park,163,Vascular Plant,
10476,Plantago tweedyi,Bryce National Park,89,Vascular Plant,
10477,Salvia lyrata,Yellowstone National Park,249,Vascular Plant,
10478,Yabea microcarpa,Great Smoky Mountains National Park,61,Vascular Plant,
10479,Plantago lanceolata,Yosemite National Park,255,Vascular Plant,
10480,Melospiza melodia,Yellowstone National Park,235,Bird,
10481,Tortula fragilis,Yellowstone National Park,259,Nonvascular Plant,
10482,Lupinus breweri var. breweri,Great Smoky Mountains National Park,32,Vascular Plant,
10483,Layia pentachaeta ssp. pentachaeta,Great Smoky Mountains National Park,69,Vascular Plant,
10484,Eurycea wilderae,Yosemite National Park,157,Amphibian,
10485,Phenacobius crassilabrum,Yosemite National Park,168,Fish,
10486,Carex nebrascensis,Yellowstone National Park,226,Vascular Plant,
10487,Phoradendron densum,Yellowstone National Park,246,Vascular Plant,
10488,Solidago,Yellowstone National Park,254,Vascular Plant,
10489,Carex normalis,Yellowstone National Park,244,Vascular Plant,
10490,Castilleja pilosa,Yellowstone National Park,261,Vascular Plant,
10491,Psilocarphus tenellus var. tenellus,Yosemite National Park,143,Vascular Plant,
10492,Carex tonsa var. rugosperma,Yosemite National Park,161,Vascular Plant,
10493,Carex rossii,Yellowstone National Park,262,Vascular Plant,
10494,Carex atlantica,Bryce National Park,109,Vascular Plant,
10495,Philadelphus inodorus var. strigosus,Yosemite National Park,167,Vascular Plant,
10496,Solanum ptychanthum,Yellowstone National Park,243,Vascular Plant,
10497,Tringa incana,Bryce National Park,114,Bird,
10498,Clintonia umbellulata,Yosemite National Park,166,Vascular Plant,
10499,Antennaria media,Great Smoky Mountains National Park,80,Vascular Plant,
10500,Phlox subulata,Great Smoky Mountains National Park,94,Vascular Plant,
10501,Paspalum boscianum,Yellowstone National Park,241,Vascular Plant,
10502,Heuchera rubescens var. alpicola,Yellowstone National Park,281,Vascular Plant,
10503,Stachys nuttallii,Yosemite National Park,157,Vascular Plant,
10504,Sorghum bicolor,Great Smoky Mountains National Park,62,Vascular Plant,
10505,Saxifraga oppositifolia,Yosemite National Park,173,Vascular Plant,
10506,Trichostema lanceolatum,Bryce National Park,115,Vascular Plant,
10507,Lepomis humilis,Great Smoky Mountains National Park,93,Fish,
10508,Sciurus niger,Great Smoky Mountains National Park,94,Mammal,
10509,Carex caroliniana,Bryce National Park,110,Vascular Plant,
10510,Isopterygium tenerum,Great Smoky Mountains National Park,63,Nonvascular Plant,
10511,Nemophila aphylla,Yosemite National Park,162,Vascular Plant,
10512,Aulacomnium heterostichum,Bryce National Park,91,Nonvascular Plant,
10513,Luzula multiflora,Yellowstone National Park,496,Vascular Plant,
10514,Gayophytum eriospermum,Great Smoky Mountains National Park,95,Vascular Plant,
10515,Sedum spathulifolium,Great Smoky Mountains National Park,53,Vascular Plant,
10516,Viola bicolor,Bryce National Park,115,Vascular Plant,
10517,Phyla lanceolata,Bryce National Park,68,Vascular Plant,
10518,Polygonum aviculare,Yellowstone National Park,517,Vascular Plant,
10519,Haemorhous cassinii,Bryce National Park,136,Bird,
10520,Calypogeja neesiana,Great Smoky Mountains National Park,75,Nonvascular Plant,
10521,Tamiasciurus hudsonicus,Great Smoky Mountains National Park,54,Mammal,
10522,Mimus polyglottos,Great Smoky Mountains National Park,200,Bird,
10523,Rhus hirta,Yosemite National Park,153,Vascular Plant,
10524,Corynorhinus rafinesquii,Bryce National Park,57,Mammal,
10525,Purshia tridentata,Great Smoky Mountains National Park,92,Vascular Plant,
10526,Bromus tectorum,Yellowstone National Park,526,Vascular Plant,
10527,Cardaria draba,Bryce National Park,62,Vascular Plant,
10528,Microtus pennsylvanicus,Yosemite National Park,156,Mammal,
10529,Erigeron strigosus,Yosemite National Park,313,Vascular Plant,
10530,Carex aquatilis var. aquatilis,Yosemite National Park,173,Vascular Plant,
10531,Bison bison,Great Smoky Mountains National Park,117,Mammal,
10532,Dianthus armeria,Yellowstone National Park,473,Vascular Plant,
10533,Saxifraga aprica,Great Smoky Mountains National Park,103,Vascular Plant,
10534,Elephantopus tomentosus,Great Smoky Mountains National Park,67,Vascular Plant,
10535,Spermophilus armatus,Yellowstone National Park,255,Mammal,
10536,Rubus discolor,Great Smoky Mountains National Park,66,Vascular Plant,
10537,Populus balsamifera ssp. balsamifera,Yosemite National Park,146,Vascular Plant,
10538,Datisca glomerata,Yellowstone National Park,228,Vascular Plant,
10539,Krascheninnikovia lanata,Great Smoky Mountains National Park,38,Vascular Plant,
10540,Echinochloa colona,Great Smoky Mountains National Park,31,Vascular Plant,
10541,Phenacomys intermedius,Great Smoky Mountains National Park,64,Mammal,
10542,Tortella humilis,Great Smoky Mountains National Park,62,Nonvascular Plant,
10543,Pleuridium subulatum,Yosemite National Park,141,Nonvascular Plant,
10544,Lonicera involucrata var. involucrata,Yellowstone National Park,245,Vascular Plant,
10545,Lotus argophyllus var. fremontii,Great Smoky Mountains National Park,64,Vascular Plant,
10546,Viola sagittata,Bryce National Park,97,Vascular Plant,
10547,Sternotherus odoratus,Great Smoky Mountains National Park,51,Reptile,
10548,Melanitta nigra,Yosemite National Park,152,Bird,
10549,Osmorhiza occidentalis,Yellowstone National Park,245,Vascular Plant,
10550,Myotis lucifugus,Great Smoky Mountains National Park,174,Mammal,Species of Concern
10551,Carpodacus mexicanus,Yosemite National Park,137,Bird,
10552,Adoxa moschatellina,Yosemite National Park,155,Vascular Plant,
10553,Sericocarpus linifolius,Bryce National Park,145,Vascular Plant,
10554,Junco hyemalis,Yellowstone National Park,233,Bird,
10555,Dendroica discolor,Yellowstone National Park,280,Bird,
10556,Soliva sessilis,Bryce National Park,167,Vascular Plant,
10557,Lycopodium complanatum,Bryce National Park,86,Vascular Plant,
10558,Chenopodium glaucum var. salinum,Yosemite National Park,130,Vascular Plant,
10559,Cynoglossum occidentale,Yellowstone National Park,234,Vascular Plant,
10560,Lonicera interrupta,Great Smoky Mountains National Park,101,Vascular Plant,
10561,Eumops perotis,Bryce National Park,113,Mammal,
10562,Pinus palustris,Bryce National Park,101,Vascular Plant,
10563,Anastrophyllum helleranum,Yellowstone National Park,233,Nonvascular Plant,
10564,Sterna caspia,Yellowstone National Park,260,Bird,
10565,Eriophorum gracile,Yosemite National Park,113,Vascular Plant,
10566,Mentzelia dispersa,Bryce National Park,147,Vascular Plant,
10567,Madia elegans ssp. vernalis,Bryce National Park,74,Vascular Plant,
10568,Lespedeza hirta,Yellowstone National Park,268,Vascular Plant,
10569,Tetrodontium brownianum,Bryce National Park,119,Nonvascular Plant,
10570,Lampropeltis getula nigra,Great Smoky Mountains National Park,74,Reptile,
10571,Dichanthelium dichotomum var. dichotomum,Bryce National Park,105,Vascular Plant,
10572,Juncus ensifolius var. montanus,Great Smoky Mountains National Park,48,Vascular Plant,
10573,Geranium carolinianum,Yellowstone National Park,505,Vascular Plant,
10574,Cyperus iria,Great Smoky Mountains National Park,58,Vascular Plant,
10575,Potamogeton pusillus ssp. tenuissimus,Bryce National Park,99,Vascular Plant,
10576,Spermophilus armatus,Great Smoky Mountains National Park,66,Mammal,
10577,Silene ovata,Yellowstone National Park,211,Vascular Plant,Species of Concern
10578,Sedum obtusatum ssp. obtusatum,Yosemite National Park,171,Vascular Plant,
10579,Pelecanus occidentalis,Great Smoky Mountains National Park,47,Bird,In Recovery
10580,Viola X primulifolia,Great Smoky Mountains National Park,65,Vascular Plant,
10581,Asclepias cordifolia,Great Smoky Mountains National Park,82,Vascular Plant,
10582,Glaucomys sabrinus,Great Smoky Mountains National Park,82,Mammal,
10583,Lithophragma parviflorum,Yosemite National Park,119,Vascular Plant,
10584,Campylostelium saxicola,Bryce National Park,132,Nonvascular Plant,
10585,Solidago curtisii,Yellowstone National Park,243,Vascular Plant,
10586,Sherardia arvensis,Great Smoky Mountains National Park,78,Vascular Plant,
10587,Empidonax hammondii,Great Smoky Mountains National Park,54,Bird,
10588,Saponaria officinalis,Yellowstone National Park,502,Vascular Plant,
10589,Echinochloa crus-galli,Bryce National Park,228,Vascular Plant,
10590,Luzula glabrata var. hitchcockii,Yellowstone National Park,240,Vascular Plant,
10591,Smilax biltmoreana,Yosemite National Park,159,Vascular Plant,
10592,Quercus stellata,Bryce National Park,100,Vascular Plant,
10593,Eryngium yuccifolium,Bryce National Park,92,Vascular Plant,
10594,Hypochaeris glabra,Yellowstone National Park,258,Vascular Plant,
10595,Agastache scrophulariifolia,Great Smoky Mountains National Park,55,Vascular Plant,
10596,Carex granularis,Great Smoky Mountains National Park,89,Vascular Plant,
10597,Rosa woodsii var. ultramontana,Great Smoky Mountains National Park,111,Vascular Plant,
10598,Artemisia ludoviciana ssp. mexicana,Yosemite National Park,150,Vascular Plant,
10599,Epifagus virginiana,Great Smoky Mountains National Park,97,Vascular Plant,
10600,Eragrostis pilosa var. pilosa,Great Smoky Mountains National Park,84,Vascular Plant,
10601,Parula americana,Yosemite National Park,156,Bird,
10602,Pyrola asarifolia,Yosemite National Park,140,Vascular Plant,
10603,Tridens flavus,Yellowstone National Park,250,Vascular Plant,
10604,Ageratina aromatica var. aromatica,Bryce National Park,110,Vascular Plant,
10605,Erigeron tener,Yellowstone National Park,228,Vascular Plant,
10606,Spinus lawrencei,Bryce National Park,111,Bird,
10607,Tyrannus tyrannus,Yosemite National Park,150,Bird,
10608,Cicuta maculata var. angustifolia,Bryce National Park,124,Vascular Plant,
10609,Linnaea borealis var. longiflora,Great Smoky Mountains National Park,96,Vascular Plant,
10610,Carex limosa,Yosemite National Park,153,Vascular Plant,
10611,Ranunculus inamoenus var. inamoenus,Yellowstone National Park,228,Vascular Plant,
10612,Apocynum cannabinum,Bryce National Park,202,Vascular Plant,
10613,Claytonia virginica var. acutiflora,Great Smoky Mountains National Park,89,Vascular Plant,
10614,Lasthenia californica,Yellowstone National Park,243,Vascular Plant,
10615,Gilia capitata ssp. pedemontana,Yellowstone National Park,276,Vascular Plant,
10616,Polygonum setaceum,Yosemite National Park,171,Vascular Plant,
10617,Kumlienia hystricula,Great Smoky Mountains National Park,46,Vascular Plant,
10618,Polygonum caespitosum var. longisetum,Yosemite National Park,179,Vascular Plant,
10619,Viola pubescens,Yellowstone National Park,240,Vascular Plant,
10620,Clangula hyemalis,Yosemite National Park,106,Bird,
10621,Clethrionomys gapperi gapperi,Yellowstone National Park,270,Mammal,
10622,Iris hartwegii ssp. hartwegii,Yellowstone National Park,244,Vascular Plant,
10623,Tephrosia spicata,Yellowstone National Park,265,Vascular Plant,
10624,Gallinago delicata,Yosemite National Park,117,Bird,
10625,Cardamine angustata,Yellowstone National Park,244,Vascular Plant,
10626,Melanthium parviflorum,Great Smoky Mountains National Park,65,Vascular Plant,
10627,Schedonnardus paniculatus,Bryce National Park,120,Vascular Plant,
10628,Carex abscondita,Great Smoky Mountains National Park,60,Vascular Plant,
10629,Cucumis melo,Yosemite National Park,152,Vascular Plant,
10630,Nocomis micropogon,Great Smoky Mountains National Park,96,Fish,
10631,Buxus sempervirens,Bryce National Park,125,Vascular Plant,
10632,Oreothlypis virginiae,Yosemite National Park,134,Bird,
10633,Carex rupestris,Great Smoky Mountains National Park,67,Vascular Plant,
10634,Ruellia caroliniensis ssp. caroliniensis var. caroliniensis,Bryce National Park,85,Vascular Plant,
10635,Arnica chamissonis ssp. foliosa,Yosemite National Park,145,Vascular Plant,
10636,Cornus foemina,Bryce National Park,91,Vascular Plant,
10637,Commelina communis,Yosemite National Park,127,Vascular Plant,
10638,Lespedeza violacea,Great Smoky Mountains National Park,146,Vascular Plant,
10639,Desmodium perplexum,Great Smoky Mountains National Park,49,Vascular Plant,
10640,Polygonum minimum,Yellowstone National Park,234,Vascular Plant,
10641,Rigiopappus leptocladus,Yosemite National Park,166,Vascular Plant,
10642,Chamaea fasciata,Great Smoky Mountains National Park,92,Bird,
10643,Chimaphila umbellata,Bryce National Park,91,Vascular Plant,
10644,Viola purpurea ssp. venosa,Bryce National Park,125,Vascular Plant,
10645,Salix melanopsis,Bryce National Park,109,Vascular Plant,
10646,Hydroprogne caspia,Great Smoky Mountains National Park,124,Bird,
10647,Lolium multiflorum,Yosemite National Park,127,Vascular Plant,
10648,Spiraea betulifolia var. lucida,Yosemite National Park,128,Vascular Plant,
10649,Arrhenatherum elatius,Yosemite National Park,156,Vascular Plant,
10650,Cypseloides niger,Yellowstone National Park,194,Bird,Species of Concern
10651,Lycoris radiata,Yosemite National Park,125,Vascular Plant,
10652,Wyethia elata,Great Smoky Mountains National Park,62,Vascular Plant,
10653,Ipomopsis aggregata,Bryce National Park,113,Vascular Plant,
10654,Galium multiflorum,Yellowstone National Park,224,Vascular Plant,
10655,Mentzelia dispersa,Yellowstone National Park,273,Vascular Plant,
10656,Scirpus pendulus,Yellowstone National Park,236,Vascular Plant,
10657,Lespedeza stuevei,Yellowstone National Park,235,Vascular Plant,
10658,Avena barbata,Yosemite National Park,118,Vascular Plant,
10659,Polygonum bistortoides,Great Smoky Mountains National Park,84,Vascular Plant,
10660,Erigeron gracilis,Yosemite National Park,145,Vascular Plant,
10661,Pyrrhopappus carolinianus,Bryce National Park,120,Vascular Plant,
10662,Trifolium campestre,Bryce National Park,191,Vascular Plant,
10663,Quercus michauxii,Yellowstone National Park,211,Vascular Plant,
10664,Atrichum undulatum,Bryce National Park,76,Nonvascular Plant,
10665,Achnatherum occidentale ssp. pubescens,Yosemite National Park,148,Vascular Plant,
10666,Carex multicostata,Great Smoky Mountains National Park,58,Vascular Plant,
10667,Aythya affinis,Yosemite National Park,144,Bird,Species of Concern
10668,Epipactis helleborine,Great Smoky Mountains National Park,119,Vascular Plant,
10669,Hesperostipa comata ssp. comata,Bryce National Park,83,Vascular Plant,
10670,Claytonia megarhiza,Yosemite National Park,167,Vascular Plant,
10671,Festuca paradoxa,Yosemite National Park,142,Vascular Plant,
10672,Alnus serrulata,Great Smoky Mountains National Park,89,Vascular Plant,
10673,Polypremum procumbens,Yellowstone National Park,266,Vascular Plant,
10674,Philomachus pugnax,Bryce National Park,103,Bird,
10675,Vaccinium myrtilloides,Yosemite National Park,155,Vascular Plant,
10676,Draba praealta,Yosemite National Park,101,Vascular Plant,
10677,Parascalops breweri,Yellowstone National Park,256,Mammal,
10678,Arabis patens,Great Smoky Mountains National Park,62,Vascular Plant,
10679,Whitneya dealbata,Bryce National Park,56,Vascular Plant,
10680,Platanthera leucostachys,Bryce National Park,82,Vascular Plant,
10681,Linanthus montanus,Great Smoky Mountains National Park,79,Vascular Plant,
10682,Parastrellus hesperus,Yosemite National Park,149,Mammal,
10683,Phalaenoptilus nuttallii,Yellowstone National Park,231,Bird,
10684,Sclerolinon digynum,Yosemite National Park,164,Vascular Plant,
10685,Crepis capillaris,Yosemite National Park,274,Vascular Plant,
10686,Silphium trifoliatum var. trifoliatum,Bryce National Park,98,Vascular Plant,
10687,Camissonia lacustris,Great Smoky Mountains National Park,85,Vascular Plant,
10688,Asplenium pinnatifidum,Yosemite National Park,145,Vascular Plant,
10689,Inula helenium,Great Smoky Mountains National Park,77,Vascular Plant,
10690,Triteleia montana,Great Smoky Mountains National Park,76,Vascular Plant,
10691,Draba oligosperma,Yosemite National Park,149,Vascular Plant,
10692,Eupatorium,Yosemite National Park,144,Vascular Plant,
10693,Dudleya cymosa ssp. cymosa,Yellowstone National Park,304,Vascular Plant,
10694,Cistothorus palustris,Great Smoky Mountains National Park,108,Bird,
10695,Sedum pulchellum,Great Smoky Mountains National Park,59,Vascular Plant,
10696,Lupinus gracilentus,Yellowstone National Park,274,Vascular Plant,
10697,Ranunculus recurvatus,Yosemite National Park,144,Vascular Plant,
10698,Veronica officinalis,Yellowstone National Park,256,Vascular Plant,
10699,Gymnocladus dioicus,Yellowstone National Park,266,Vascular Plant,
10700,Monardella sheltonii,Yosemite National Park,139,Vascular Plant,
10701,Erigeron elmeri,Yellowstone National Park,257,Vascular Plant,
10702,Melica stricta,Yellowstone National Park,227,Vascular Plant,
10703,Homomallium adnatum,Great Smoky Mountains National Park,63,Nonvascular Plant,
10704,Antennaria parlinii ssp. fallax,Yosemite National Park,149,Vascular Plant,
10705,Rosa carolina,Yellowstone National Park,266,Vascular Plant,
10706,Agrostis thurberiana,Yellowstone National Park,244,Vascular Plant,
10707,Pinus jeffreyi,Yellowstone National Park,273,Vascular Plant,
10708,Arabis X divaricarpa,Bryce National Park,80,Vascular Plant,
10709,Corvus corax,Yosemite National Park,142,Bird,
10710,Gilia capitata ssp. mediomontana,Yosemite National Park,152,Vascular Plant,
10711,Celastrus scandens,Great Smoky Mountains National Park,103,Vascular Plant,
10712,Erigeron strigosus,Yellowstone National Park,527,Vascular Plant,
10713,Mimulus floribundus,Yosemite National Park,176,Vascular Plant,
10714,Carex tribuloides,Great Smoky Mountains National Park,41,Vascular Plant,
10715,Corydalis flavula,Yellowstone National Park,245,Vascular Plant,
10716,Artemisia spiciformis,Great Smoky Mountains National Park,79,Vascular Plant,
10717,Penstemon aridus,Bryce National Park,124,Vascular Plant,
10718,Leptochloa panicea ssp. brachiata,Great Smoky Mountains National Park,59,Vascular Plant,
10719,Hibiscus syriacus,Great Smoky Mountains National Park,67,Vascular Plant,
10720,Kalmia microphylla,Yosemite National Park,148,Vascular Plant,
10721,Rhus copallinum,Yosemite National Park,152,Vascular Plant,
10722,Astragalus bolanderi,Great Smoky Mountains National Park,75,Vascular Plant,
10723,Lysimachia terrestris,Yosemite National Park,152,Vascular Plant,
10724,Cirsium andersonii,Great Smoky Mountains National Park,79,Vascular Plant,
10725,Leptohymenium sharpii,Yosemite National Park,137,Nonvascular Plant,Species of Concern
10726,Poa glauca ssp. rupicola,Bryce National Park,102,Vascular Plant,
10727,Carex preslii,Yosemite National Park,149,Vascular Plant,
10728,Geum rossii var. turbinatum,Great Smoky Mountains National Park,58,Vascular Plant,
10729,Sorbus californica,Great Smoky Mountains National Park,67,Vascular Plant,
10730,Selasphorus platycercus,Great Smoky Mountains National Park,75,Bird,
10731,Alliaria petiolata,Yellowstone National Park,240,Vascular Plant,
10732,Arabis lyallii var. lyallii,Great Smoky Mountains National Park,70,Vascular Plant,
10733,Muhlenbergia schreberi,Great Smoky Mountains National Park,156,Vascular Plant,
10734,Hirschfeldia incana,Great Smoky Mountains National Park,91,Vascular Plant,
10735,Masticophis lateralis lateralis,Yosemite National Park,174,Reptile,
10736,Lontra canadensis,Great Smoky Mountains National Park,69,Mammal,
10737,Scrophularia desertorum,Yosemite National Park,160,Vascular Plant,
10738,Juncus bryoides,Bryce National Park,95,Vascular Plant,
10739,Centaurea repens,Great Smoky Mountains National Park,72,Vascular Plant,
10740,Lotus humistratus,Yellowstone National Park,228,Vascular Plant,
10741,Minuartia nuttallii,Yellowstone National Park,228,Vascular Plant,
10742,Perilla frutescens,Bryce National Park,84,Vascular Plant,
10743,Plantago tweedyi,Yellowstone National Park,245,Vascular Plant,
10744,Juncus effusus var. pacificus,Yellowstone National Park,245,Vascular Plant,
10745,Veronica peregrina ssp. xalapensis,Great Smoky Mountains National Park,95,Vascular Plant,
10746,Athyrium filix-femina,Great Smoky Mountains National Park,69,Vascular Plant,
10747,Hypericum gentianoides,Great Smoky Mountains National Park,89,Vascular Plant,
10748,Agrostis gigantea,Great Smoky Mountains National Park,150,Vascular Plant,
10749,Muhlenbergia tenuiflora,Bryce National Park,103,Vascular Plant,
10750,Lontra canadensis,Yellowstone National Park,219,Mammal,
10751,Pachysandra terminalis,Yosemite National Park,127,Vascular Plant,
10752,Vaccinium pallidum,Yellowstone National Park,250,Vascular Plant,
10753,Lactuca serriola,Yosemite National Park,309,Vascular Plant,
10754,Vulpia octoflora var. glauca,Yosemite National Park,142,Vascular Plant,
10755,Gentianopsis simplex,Yosemite National Park,173,Vascular Plant,
10756,Mnium hornum,Yosemite National Park,134,Nonvascular Plant,
10757,Symphyotrichum oblongifolium,Great Smoky Mountains National Park,82,Vascular Plant,
10758,Viola macloskeyi ssp. pallens,Yellowstone National Park,223,Vascular Plant,
10759,Myotis ciliolabrum,Bryce National Park,201,Mammal,
10760,Junco hyemalis hyemalis,Bryce National Park,109,Bird,
10761,Elymus glaucus,Great Smoky Mountains National Park,91,Vascular Plant,
10762,Ulota hutchinsiae,Yellowstone National Park,287,Nonvascular Plant,
10763,Fabronia ciliaris,Yosemite National Park,146,Nonvascular Plant,
10764,Carphophis amoenus helenae,Great Smoky Mountains National Park,79,Reptile,
10765,Claytonia lanceolata,Great Smoky Mountains National Park,73,Vascular Plant,
10766,Actaea pachypoda,Great Smoky Mountains National Park,78,Vascular Plant,
10767,Bromus inermis,Bryce National Park,86,Vascular Plant,
10768,Bombycilla cedrorum,Yosemite National Park,134,Bird,
10769,Erigeron corymbosus,Great Smoky Mountains National Park,31,Vascular Plant,
10770,Ulota hutchinsiae,Yosemite National Park,145,Nonvascular Plant,
10771,Erigeron lonchophyllus,Yosemite National Park,109,Vascular Plant,
10772,Houstonia longifolia var. tenuifolia,Bryce National Park,66,Vascular Plant,
10773,Platyhypnidium riparoides,Yellowstone National Park,289,Nonvascular Plant,
10774,Cirsium vulgare,Great Smoky Mountains National Park,126,Vascular Plant,
10775,Carex aggregata,Great Smoky Mountains National Park,78,Vascular Plant,
10776,Alopecurus carolinianus,Great Smoky Mountains National Park,71,Vascular Plant,
10777,Lemna minuta,Great Smoky Mountains National Park,81,Vascular Plant,
10778,Polygala ambigua,Yosemite National Park,126,Vascular Plant,
10779,Carex grisea,Bryce National Park,90,Vascular Plant,
10780,Tsuga mertensiana,Bryce National Park,126,Vascular Plant,
10781,Prunus triloba,Yellowstone National Park,287,Vascular Plant,
10782,Grimmia laevigata,Yellowstone National Park,229,Nonvascular Plant,
10783,Catalpa speciosa,Yosemite National Park,145,Vascular Plant,
10784,Poa trivialis,Bryce National Park,171,Vascular Plant,
10785,Ranunculus sceleratus var. multifidus,Great Smoky Mountains National Park,70,Vascular Plant,
10786,Mniotilta varia,Yellowstone National Park,230,Bird,
10787,Avena barbata,Great Smoky Mountains National Park,61,Vascular Plant,
10788,Stachys nuttallii,Great Smoky Mountains National Park,83,Vascular Plant,
10789,Spiranthes cernua,Bryce National Park,92,Vascular Plant,
10790,Mimosa quadrivalvis var. angustata,Yosemite National Park,156,Vascular Plant,
10791,Minuartia douglasii,Yosemite National Park,140,Vascular Plant,
10792,Penstemon heterodoxus var. heterodoxus,Yosemite National Park,134,Vascular Plant,
10793,Viola lobata ssp. integrifolia,Yosemite National Park,139,Vascular Plant,
10794,Tiarella cordifolia var. collina,Yellowstone National Park,277,Vascular Plant,
10795,Lewisia disepala,Yellowstone National Park,265,Vascular Plant,
10796,Pinus echinata,Great Smoky Mountains National Park,76,Vascular Plant,
10797,Chamaebatiaria millefolium,Bryce National Park,80,Vascular Plant,
10798,Buchnera americana,Yellowstone National Park,218,Vascular Plant,
10799,Malva neglecta,Yellowstone National Park,491,Vascular Plant,
10800,Cosmos sulphureus,Yosemite National Park,127,Vascular Plant,
10801,Senecio streptanthifolius,Yellowstone National Park,239,Vascular Plant,
10802,Stephanomeria tenuifolia,Great Smoky Mountains National Park,104,Vascular Plant,
10803,Juncus subcaudatus var. subcaudatus,Yosemite National Park,143,Vascular Plant,
10804,Sagina decumbens,Great Smoky Mountains National Park,67,Vascular Plant,
10805,Acris crepitans crepitans,Yellowstone National Park,228,Amphibian,
10806,Bubulcus ibis,Great Smoky Mountains National Park,49,Bird,
10807,Cuphea viscosissima,Yosemite National Park,130,Vascular Plant,
10808,Pyrus calleryana,Great Smoky Mountains National Park,83,Vascular Plant,
10809,Anas crecca,Yellowstone National Park,269,Bird,
10810,Herpetineuron toccoae,Bryce National Park,108,Nonvascular Plant,
10811,Poa compressa,Yellowstone National Park,493,Vascular Plant,
10812,Cerastium nutans var. nutans,Great Smoky Mountains National Park,99,Vascular Plant,
10813,Silene californica,Great Smoky Mountains National Park,67,Vascular Plant,
10814,Aulacomnium palustre,Yellowstone National Park,230,Nonvascular Plant,
10815,Monardella lanceolata,Yosemite National Park,126,Vascular Plant,
10816,Polymnia canadensis,Yellowstone National Park,249,Vascular Plant,
10817,Rhexia virginica,Yosemite National Park,166,Vascular Plant,
10818,Podilymbus podiceps,Bryce National Park,90,Bird,
10819,Carex raynoldsii,Yellowstone National Park,268,Vascular Plant,
10820,Arabis lyallii var. nubigena,Bryce National Park,109,Vascular Plant,
10821,Thlaspi perfoliatum,Bryce National Park,108,Vascular Plant,
10822,Arnica rydbergii,Bryce National Park,129,Vascular Plant,
10823,Guiraca caerulea,Great Smoky Mountains National Park,63,Bird,Species of Concern
10824,Symphyotrichum foliaceum var. apricum,Yellowstone National Park,259,Vascular Plant,
10825,Corylus americana,Yellowstone National Park,265,Vascular Plant,
