,category,scientific_name,common_names,conservation_status
2882,Nonvascular Plant,Leskea gracilescens,Leskea Moss,
2883,Nonvascular Plant,Leskea obscura,Leskea Moss,
2884,Nonvascular Plant,Leskeella nervosa,Leskeella,
2885,Nonvascular Plant,Leucodon brachypus,Leucodon Moss,
2886,Nonvascular Plant,Leucodon brachypus var. andrewsianus,Andrews' Lecodon Moss,
2887,Nonvascular Plant,Leucodon julaceus,Leucodon Moss,
2888,Nonvascular Plant,Schwetschkeopsis fabronia,Schwetschkeopsis Moss,
2889,Nonvascular Plant,Homalia trichomanoides,Homalia Moss,
2890,Nonvascular Plant,Neckera complanata,Neckera Moss,
2891,Nonvascular Plant,Neckera pennata,Neckera Moss,
2892,Nonvascular Plant,Thamnobryum alleghaniense,Allegany Thamnobryum Moss,
2893,Nonvascular Plant,Plagiothecium cavifolium,Plagiothecium Moss,
2894,Nonvascular Plant,Plagiothecium denticulatum,Toothed Plagiothecium Moss,
2895,Nonvascular Plant,Plagiothecium laetum,Plagiothecium Moss,
2896,Nonvascular Plant,Heterocladium macounii,Macoun's Heterocladium Moss,
2897,Nonvascular Plant,Myurella sibirica,Siberian Myurella Moss,
2898,Nonvascular Plant,Pterigynandrum filiforme,Pterigynandrum Moss,
2899,Nonvascular Plant,Isopterygium tenerum,Isopterygium Moss,
2900,Nonvascular Plant,Platygyrium repens,Platygyrium Moss,
2901,Nonvascular Plant,Pylaisiadelpha tenuirostris,Pylaisiadelpha Moss,
2902,Nonvascular Plant,Brotherella recurvans,Recurved Brotherella Moss,
2903,Nonvascular Plant,Heterophyllium affine,Heterophyllium Moss,
2904,Nonvascular Plant,Sematophyllum adnatum,Sematophyllum Moss,
2905,Nonvascular Plant,Sematophyllum demissum,Sematophyllum Moss,
2906,Nonvascular Plant,Sematophyllum marylandicum,Maryland Sematophyllum Moss,
2907,Nonvascular Plant,Thelia hirtella,Thelia Moss,
2908,Nonvascular Plant,Abietinella abietina,Abietinella Moss,
2909,Nonvascular Plant,Cyrto-hypnum minutulum,Cyrto-Hypnum Moss,
2910,Nonvascular Plant,Cyrto-hypnum pygmaeum,Pygmy Cyrto-Hypnum Moss,
2911,Nonvascular Plant,Rauiella scita,Rauiella Moss,
2912,Nonvascular Plant,Thuidium allenii,Allen's Thuidium Moss,
2913,Nonvascular Plant,Thuidium delicatulum,Delicate Thuidium Moss,
2914,Nonvascular Plant,Thuidium recognitum,Thuidium Moss,
2915,Nonvascular Plant,Acrobolbus ciliatus,Acrobolbus,
2916,Nonvascular Plant,Calypogeja muelleriana,Mªller's Calypogeja,
2917,Nonvascular Plant,Calypogeja muelleriana ssp. blomquistii,Blomquist's Calypogeja,
2918,Nonvascular Plant,Calypogeja neesiana,Nees' Calypogeja,
2919,Nonvascular Plant,Calypogeja peruviana,Peruvian Calypogeja,
2920,Nonvascular Plant,Calypogeja sphagnicola,Sphagnum Calypogeja,
2921,Nonvascular Plant,Calypogeja sullivantii,Sullivant's Calypogeja,
2922,Nonvascular Plant,Cephalozia bicuspidata,Twotoothed Cephalozia,
2923,Nonvascular Plant,Cephalozia bicuspidata ssp. ambigua,Twotoothed Cephalozia,
2924,Nonvascular Plant,Cephalozia bicuspidata ssp. lammersiana,Lammers' Cephalozia,
2925,Nonvascular Plant,Cephalozia catenulata,Cephalozia,
2926,Nonvascular Plant,Cephalozia connivens,Cephalozia,
2927,Nonvascular Plant,Cephalozia lunulifolia,Cephalozia,
2928,Nonvascular Plant,Bazzania denudata,Bazzania,
2929,Nonvascular Plant,Bazzania nudicaulis,Bazzania,Species of Concern
2930,Nonvascular Plant,Bazzania tricrenata,Bazzania,
2931,Nonvascular Plant,Bazzania trilobata,Threelobed Bazzania,
2932,Nonvascular Plant,Lophocolea appalachiana,Appalachian Lophocolea,Species of Concern
2933,Nonvascular Plant,Lophocolea muricata,Liverwort,
2934,Nonvascular Plant,Blepharostoma trichophyllum,Blepharostoma,
2935,Nonvascular Plant,Anastrophyllum helleranum,Heller's Anastrophyllum,
2936,Nonvascular Plant,Anastrophyllum michauxii,Michaux's Anastrophyllum,
2937,Nonvascular Plant,Anastrophyllum minutum,Anastrophyllum,
2938,Nonvascular Plant,Anastrophyllum saxicola,Anastrophyllum,
2939,Nonvascular Plant,Barbilophozia attenuata,Attenuate Barbilophozia,
2940,Nonvascular Plant,Aneura pinguis,Aneura,
2941,Nonvascular Plant,Apometzgeria pubescens,Apometzgeria,
2942,Nonvascular Plant,Notothylas orbicularis,Round Notothylas,
2943,Nonvascular Plant,Phaeoceros laevis,Phaeoceros,
2944,Nonvascular Plant,Phaeoceros laevis ssp. carolinianus,Carolina Phaeoceros,
2945,Nonvascular Plant,Amphidium mougeotii,Mougeot's Amphidium Moss,
2946,Nonvascular Plant,Macrocoma sullivantii,Sullivant's Macrocoma Moss,
2947,Nonvascular Plant,Orthotrichum exiguum,Orthotrichum Moss,
2948,Nonvascular Plant,Orthotrichum ohioense,Ohio Orthotrichum Moss,
2949,Nonvascular Plant,Orthotrichum stellatum,Stellate Orthotrichum Moss,
2950,Nonvascular Plant,Orthotrichum strangulatum,Strangulate Orthotrichum Moss,
2951,Nonvascular Plant,Schlotheimia rugifolia,Ruggedleaf Schlotheimia Moss,
2952,Nonvascular Plant,Ulota coarctata,Ulota Moss,
2953,Nonvascular Plant,Ulota crispa,Ulota Moss,
2954,Nonvascular Plant,Ulota hutchinsiae,Hutchins' Ulota Moss,
2955,Nonvascular Plant,Ulota hutchinsiae var. rufescens,Hutchins' Ulota Moss,
2956,Nonvascular Plant,Zygodon viridissimus,Zygodon Moss,
2957,Nonvascular Plant,Zygodon viridissimus var. rupestris,Zygodon Moss,
2958,Nonvascular Plant,Atrichum altecristatum,Atrichum Moss,
2959,Nonvascular Plant,Atrichum angustatum,Atrichum Moss,
2960,Nonvascular Plant,Atrichum crispum,Atrichum Moss,
2961,Nonvascular Plant,Atrichum oerstedianum,Oersted's Atrichum Moss,
2962,Nonvascular Plant,Atrichum undulatum,Undulate Atrichum Moss,
2963,Nonvascular Plant,Pogonatum brachyphyllum,Pogonatum Moss,
2964,Nonvascular Plant,Pogonatum pensilvanicum,Pennsylvania Pogonatum Moss,
2965,Nonvascular Plant,Polytrichum appalachianum,Appalachian Polytrichum Moss,
2966,Nonvascular Plant,Polytrichum commune,Polytrichum Moss,
2967,Nonvascular Plant,Polytrichum juniperinum,Juniper Polytrichum Moss,
2968,Nonvascular Plant,Polytrichum ohioense,Ohio Polytrichum Moss,
2969,Nonvascular Plant,Polytrichum pallidisetum,Polytrichum Moss,
2970,Nonvascular Plant,Polytrichum piliferum,Polytrichum Moss,
2971,Nonvascular Plant,Polytrichum strictum,Polytrichum Moss,
2972,Nonvascular Plant,Anoectangium aestivum,Anoectangium Moss,
2973,Nonvascular Plant,Astomum muehlenbergianum,Muehlenberg's Astomum Moss,
2974,Nonvascular Plant,Barbula convoluta,Convoluted Barbula Moss,
2975,Nonvascular Plant,Barbula unguiculata,Barbula Moss,
2976,Nonvascular Plant,Didymodon fallax,Didymodon Moss,
2977,Nonvascular Plant,Didymodon fallax var. reflexus,Didymodon Moss,
2978,Nonvascular Plant,Didymodon rigidulus,Rigid Didymodon Moss,
2979,Nonvascular Plant,Ephemerum spinulosum,Ephemerum Moss,
2980,Nonvascular Plant,Eucladium verticillatum,Eucladium Moss,
2981,Nonvascular Plant,Gymnostomum aeruginosum,Gymnostomum Moss,
2982,Nonvascular Plant,Hymenostylium recurvirostre,Hymenostylium Moss,
2983,Nonvascular Plant,Hyophila involuta,Hyophila Moss,
2984,Nonvascular Plant,Leptodontium excelsum,Grandfather Mountain Leptodontium,
2985,Nonvascular Plant,Leptodontium flexifolium,Pale-Margined Leptodontium,
2986,Nonvascular Plant,Oxystegus tenuirostris,Oxystegus Moss,
2987,Nonvascular Plant,Scopelophila ligulata,Copper Moss,
2988,Nonvascular Plant,Tortella humilis,Tortella Moss,
2989,Nonvascular Plant,Tortella tortuosa,Tortured Tortella Moss,
2990,Nonvascular Plant,Tortula ammonsiana,Ammon's Screw-Moss,Species of Concern
2991,Nonvascular Plant,Tortula amphidiacea,Tortula Moss,
2992,Nonvascular Plant,Tortula fragilis,Fragmented Screw-Moss,
2993,Nonvascular Plant,Weissia controversa,Controverial Weissia Moss,
2994,Nonvascular Plant,Aulacomnium heterostichum,Aulacomnium Moss,
2995,Nonvascular Plant,Aulacomnium palustre,Aulacomnium Moss,
2996,Nonvascular Plant,Drummondia prorepens,Drummond Moss,
2997,Nonvascular Plant,Sphagnum affine,Sphagnum,
2998,Nonvascular Plant,Sphagnum capillifolium,Sphagnum,
2999,Nonvascular Plant,Sphagnum compactum,Low Sphagnum,
3000,Nonvascular Plant,Sphagnum cuspidatum,Toothed Sphagnum,
3001,Nonvascular Plant,Sphagnum girgensohnii,Girgensohn's Sphagnum,
3002,Nonvascular Plant,Sphagnum magellanicum,Magellan's Sphagnum,
3003,Nonvascular Plant,Sphagnum molle,Sphagnum,
3004,Nonvascular Plant,Sphagnum palustre,Prairie Sphagnum,
3005,Nonvascular Plant,Sphagnum pylaesii,Pylaes' Sphagnum,
3006,Nonvascular Plant,Sphagnum quinquefarium,Sphagnum,
3007,Nonvascular Plant,Sphagnum squarrosum,Sphagnum,
3008,Nonvascular Plant,Sphagnum subsecundum,Sphagnum,
3009,Nonvascular Plant,Tetraphis pellucida,Tetraphis Moss,
3010,Nonvascular Plant,Tetrodontium brownianum,Brown's Tetrodontium Moss,
3011,Mammal,Antilocapra americana,"Antelope, Pronghorn",
3012,Mammal,Bison bison,"Bison, Buffalo",
3013,Mammal,Oreamnos americanus,"Mountain Goat, Mountain Goat, Rocky Mountain Goat",
3014,Mammal,Ovis canadensis,"Bighorn Sheep, Bighorn Sheep",Species of Concern
3015,Mammal,Alces alces,"Eurasian Elk, Moose",
3016,Mammal,Alces alces shirasi,Yellowstone Moose,
3017,Mammal,Cervus elaphus,Rocky Mountain Elk,
3018,Mammal,Odocoileus hemionus,"Mule Deer, Mule Deer",
3019,Mammal,Odocoileus virginianus,"White-Tailed Deer, White-Tailed Deer",
3021,Mammal,Lynx canadensis,"Canada Lynx, Canadian Lynx, Lynx",
3023,Mammal,Spilogale gracilis,Western Spotted Skunk,
3024,Mammal,Gulo gulo,Wolverine,
3025,Mammal,Lutra canadensis,River Otter,
3028,Mammal,Mustela vison,"American Mink, Mink",
3031,Mammal,Ursus americanus,"American Black Bear, Black Bear",
3032,Mammal,Ursus arctos horribilis,Grizzly Bear,Threatened
3033,Mammal,Antrozous pallidus,"Pallid Bat, Pallid Bat",Species of Concern
3035,Mammal,Eptesicus fuscus,"Big Brown Bat, Big Brown Bat",Species of Concern
3036,Mammal,Euderma maculatum,"Spotted Bat, Spotted Bat",Species of Concern
3037,Mammal,Lasionycteris noctivagans,"Silver-Haired Bat, Silver-Haired Bat",Species of Concern
3038,Mammal,Lasiurus cinereus,"Hoary Bat, Hoary Bat",
3041,Mammal,Myotis evotis,"Long-Eared Myotis, Long-Eared Myotis",Species of Concern
3043,Mammal,Myotis thysanodes,"Fringed Myotis, Fringed Myotis",Species of Concern
3044,Mammal,Myotis volans,"Long-Legged Myotis, Long-Legged Myotis",Species of Concern
3045,Mammal,Myotis yumanensis,"Yuma Myotis, Yuma Myotis",Species of Concern
3046,Mammal,Lepus townsendii,"White-Tailed Jack Rabbit, White-Tailed Jackrabbit",
3047,Mammal,Sylvilagus audubonii,Desert Cottontail,
3048,Mammal,Sylvilagus nuttallii,Mountain Cottontail,
3051,Mammal,Lemmiscus curtatus,Sagebrush Vole,
3053,Mammal,Microtus montanus,Montane Vole,
3054,Mammal,Microtus richardsoni,Richardson Water Vole,
3055,Mammal,Neotoma cinerea,Bushy-Tailed Woodrat,
3056,Mammal,Ondatra zibethicus,"Common Muskrat, Muskbeaver, Muskrat",
3057,Mammal,Peromyscus maniculatus,"Deer Mouse, North American Deermouse",
3058,Mammal,Phenacomys intermedius,"Heather Vole, Western Heather Vole",
3059,Mammal,Zapus princeps,Western Jumping Mouse,
3060,Mammal,Thomomys talpoides,Northern Pocket Gopher,
3061,Mammal,Glaucomys sabrinus,Northern Flying Squirrel,
3062,Mammal,Marmota flaviventris,Yellow-Bellied Marmot,
3063,Mammal,Neotamias amoenus,Yellow Pine Chipmunk,
3064,Mammal,Neotamias minimus,Least Chipmunk,
3065,Mammal,Neotamias umbrinus,Uinta Chipmunk,
3066,Mammal,Spermophilus armatus,Uinta Ground Squirrel,
3067,Mammal,Spermophilus lateralis,Golden-Mantled Ground Squirrel,
3068,Mammal,Tamias amoenus,Yellow-Pine Chipmunk,
3069,Mammal,Tamias minimus,Least Chipmunk,
3071,Mammal,Sorex cinereus,"Cinereus Shrew, Common Shrew, Masked Shrew",
3072,Mammal,Sorex hoyi,"American Pygmy Shrew, Pygmy Shrew",
3074,Mammal,Sorex nanus,"Dwarf Shrew, Rocky Mountain Dwarf Shrew",
3075,Mammal,Sorex palustris,"American Water Shrew, Northern Water Shrew, Water Shrew",
3076,Mammal,Sorex preblei,"Malheur Shrew, Preble's Shrew",Species of Concern
3078,Bird,Buteo lagopus,Rough-Legged Hawk,Species of Concern
3079,Bird,Buteo regalis,Ferruginous Hawk,
3080,Bird,Buteo swainsoni,Swainson's Hawk,
3081,Bird,Pandion haliaetus,"Osprey, Western Osprey",Species of Concern
3082,Bird,Anas cyanoptera,Cinnamon Teal,
3083,Bird,Anas penelope,Eurasian Wigeon,
3084,Bird,Anas strepera,Gadwall,
3085,Bird,Anser albifrons,Greater White-Fronted Goose,
3086,Bird,Aythya marila,Greater Scaup,
3087,Bird,Aythya valisineria,Canvasback,
3088,Bird,Branta bernicla,"Brant, Brant Goose, Brent Goose",
3089,Bird,Branta hutchinsii,Cackling Goose,
3090,Bird,Bucephala islandica,Barrow's Goldeneye,
3091,Bird,Chen caerulescens,"Blue Goose, Snow Goose",
3092,Bird,Chen rossii,"Ross' Goose, Ross's Goose",
3093,Bird,Clangula hyemalis,"Long-Tailed Duck, Oldsquaw",
3094,Bird,Cygnus buccinator,Trumpeter Swan,Species of Concern
3095,Bird,Cygnus columbianus,Tundra Swan,
3096,Bird,Cygnus cygnus,Whooper Swan,
3097,Bird,Melanitta perspicillata,Surf Scoter,
3098,Bird,Aeronautes saxatalis,White-Throated Swift,
3099,Bird,Chaetura vauxi,Vaux's Swift,Species of Concern
3100,Bird,Selasphorus platycercus,Broad-Tailed Hummingbird,
3101,Bird,Selasphorus rufus,Rufous Hummingbird,Species of Concern
3102,Bird,Stellula calliope,Calliope Hummingbird,Species of Concern
3103,Bird,Charadrius nivosus,Snowy Plover,
3104,Bird,Pluvialis squatarola,Black-Bellied Plover,
3105,Bird,Hydroprogne caspia,Caspian Tern,
3106,Bird,Larus argentatus,"European Herring Gull, Herring Gull",
3107,Bird,Larus californicus,California Gull,
3108,Bird,Larus canus,Mew Gull,
3109,Bird,Larus pipixcan,Franklin's Gull,
3110,Bird,Rissa tridactyla,Black-Legged Kittiwake,
3111,Bird,Sterna caspia,Caspian Tern,
3112,Bird,Sterna forsteri,Forster's Tern,
3113,Bird,Sterna hirundo,Common Tern,Species of Concern
3114,Bird,Sterna paradisaea,Arctic Tern,
3115,Bird,Xema sabini,Sabine's Gull,
3116,Bird,Himantopus mexicanus,Black-Necked Stilt,
3117,Bird,Recurvirostra americana,American Avocet,
3118,Bird,Arenaria interpres,Ruddy Turnstone,
3119,Bird,Bartramia longicauda,Upland Sandpiper,Species of Concern
3120,Bird,Calidris alba,Sanderling,
3121,Bird,Calidris alpina,Dunlin,
3122,Bird,Calidris bairdii,Baird's Sandpiper,
3123,Bird,Calidris canutus,Red Knot,
3124,Bird,Calidris fuscicollis,White-Rumped Sandpiper,
3125,Bird,Calidris himantopus,Stilt Sandpiper,
3126,Bird,Calidris mauri,Western Sandpiper,
3127,Bird,Calidris melanotos,Pectoral Sandpiper,
3128,Bird,Gallinago delicata,Wilson's Snipe,
3129,Bird,Limnodromus scolopaceus,Long-Billed Dowitcher,
3130,Bird,Limosa fedoa,Marbled Godwit,Species of Concern
3131,Bird,Limosa haemastica,Hudsonian Godwit,
3132,Bird,Numenius americanus,Long-Billed Curlew,
3133,Bird,Phalaropus tricolor,Wilson's Phalarope,
3134,Bird,Tringa incana,Wandering Tattler,
3135,Bird,Tringa semipalmata,Willet,
3136,Bird,Stercorarius parasiticus,Parasitic Jaeger,
3137,Bird,Mycteria americana,Wood Stork,
3139,Bird,Patagioenas fasciata,Band-Tailed Pigeon,Species of Concern
3141,Bird,Caracara cheriway,Crested Caracara,
3142,Bird,Falco mexicanus,Prairie Falcon,Species of Concern
3143,Bird,Falco peregrinus anatum,American Peregrine Falcon,In Recovery
3144,Bird,Alectoris chukar,"Chukar, Chukar Partridge",
3146,Bird,Dendragapus obscurus,Dusky Grouse,
3147,Bird,Lagopus leucura,White-Tailed Ptarmigan,
3148,Bird,Perdix perdix,"Gray Partridge, Grey Partridge",
3149,Bird,Tympanuchus phasianellus,Sharp-Tailed Grouse,
3150,Bird,Gavia immer,"Common Loon, Great Northern Diver, Great Northern Loon",Species of Concern
3152,Bird,Gavia stellata,"Red-Throated Diver, Red-Throated Loon",
3153,Bird,Coturnicops noveboracensis,Yellow Rail,Species of Concern
3154,Bird,Bombycilla garrulus,Bohemian Waxwing,
3155,Bird,Calcarius lapponicus,Lapland Longspur,
3156,Bird,Calcarius mccownii,Mccown's Longspur,Species of Concern
3157,Bird,Passerina amoena,Lazuli Bunting,
3158,Bird,Pheucticus melanocephalus,Black-Headed Grosbeak,
3159,Bird,Piranga ludoviciana,Western Tanager,
3160,Bird,Cinclus mexicanus,American Dipper,
3161,Bird,Cyanocitta stelleri,Steller's Jay,
3162,Bird,Gymnorhinus cyanocephalus,Pinyon Jay,Species of Concern
3163,Bird,Nucifraga columbiana,Clark's Nutcracker,
3164,Bird,Perisoreus canadensis,"Gray Jay, Grey Jay",
3166,Bird,Amphispiza bilineata,Black-Throated Sparrow,
3167,Bird,Artemisiospiza nevadensis,Sagebrush Sparrow,
3168,Bird,Calamospiza melanocorys,Lark Bunting,
3169,Bird,Passerella iliaca,"Fox Sparrow, Red Fox Sparrow",
3170,Bird,Pipilo chlorurus,Green-Tailed Towhee,Species of Concern
3171,Bird,Pipilo maculatus,Spotted Towhee,
3172,Bird,Spizella atrogularis,Black-Chinned Sparrow,
3173,Bird,Spizella breweri,Brewer's Sparrow,Species of Concern
3174,Bird,Spizella pallida,Clay-Colored Sparrow,
3175,Bird,Zonotrichia querula,Harris's Sparrow,
3176,Bird,Acanthus flammea,"Common Redpoll, Redpoll",
3177,Bird,Carpodacus cassinii,Cassin's Finch,
3178,Bird,Leucosticte atrata,Black Rosy-Finch,
3180,Bird,Pinicola enucleator,Pine Grosbeak,
3181,Bird,Spinus pinus,Pine Siskin,
3182,Bird,Spinus psaltria,Lesser Goldfinch,
3183,Bird,Spinus tristis,American Goldfinch,
3184,Bird,Petrochelidon pyrrhonota,"American Cliff Swallow, Cliff Swallow",
3185,Bird,Riparia riparia,"Bank Swallow, Sand Martin",Species of Concern
3186,Bird,Tachycineta thalassina,Violet-Green Swallow,
3187,Bird,Euphagus cyanocephalus,Brewer's Blackbird,
3188,Bird,Icterus bullockii,Bullock's Oriole,
3189,Bird,Sturnella neglecta,Western Meadowlark,
3191,Bird,Dumetella carolinensis,"Gray Catbird, Grey Catbird",
3192,Bird,Mimus polyglottos,Northern Mockingbird,
3193,Bird,Oreoscoptes montanus,Sage Thrasher,Species of Concern
3194,Bird,Anthus rubescens,American Pipit,
3195,Bird,Poecile gambeli,Mountain Chickadee,
3196,Bird,Cardellina pusilla,Wilson's Warbler,
3197,Bird,Oreothlypis celata,Orange-Crowned Warbler,
3198,Bird,Oreothlypis peregrina,Tennessee Warbler,
3199,Bird,Oreothlypis ruficapilla,Nashville Warbler,
3200,Bird,Oreothlypis virginiae,Virginia's Warbler,
3201,Bird,Seiurus aurocapillus,Ovenbird,
3202,Bird,Setophaga castanea,Bay-Breasted Warbler,
3203,Bird,Setophaga citrina,Hooded Warbler,
3204,Bird,Setophaga coronata,Yellow-Rumped Warbler,
3205,Bird,Setophaga discolor,Prairie Warbler,
3206,Bird,Setophaga dominica,Yellow-Throated Warbler,
3207,Bird,Setophaga fusca,Blackburnian Warbler,
3208,Bird,Setophaga palmarum,Palm Warbler,
3209,Bird,Setophaga pensylvanica,Chestnut-Sided Warbler,
3210,Bird,Setophaga petechia,Yellow Warbler,
3211,Bird,Setophaga striata,Blackpoll Warbler,
3212,Bird,Setophaga tigrina,Cape May Warbler,
3213,Bird,Setophaga townsendi,Townsend's Warbler,
3214,Bird,Polioptila caerulea,"Blue-Gray Gnatcatcher, Blue-Grey Gnatcatcher",
3215,Bird,Phainopepla nitens,Phainopepla,Species of Concern
3216,Bird,Sitta pygmaea,Pygmy Nuthatch,
3217,Bird,Sturnus vulgaris,"Common Starling, European Starling",
3218,Bird,Catherpes mexicanus,Canyon Wren,
3219,Bird,Salpinctes obsoletus,Rock Wren,
3220,Bird,Ixoreus naevius,Varied Thrush,
3221,Bird,Myadestes townsendi,Townsend's Solitaire,
3222,Bird,Sialia currucoides,Mountain Bluebird,
3223,Bird,Sialia mexicana,Western Bluebird,Species of Concern
3225,Bird,Empidonax hammondii,Hammond's Flycatcher,
3226,Bird,Empidonax oberholseri,Dusky Flycatcher,
3227,Bird,Empidonax occidentalis,Cordilleran Flycatcher,
3229,Bird,Myiarchus cinerascens,Ash-Throated Flycatcher,
3230,Bird,Sayornis saya,Say's Phoebe,
3231,Bird,Vireo solitarius,Blue-Headed Vireo,
3232,Bird,Bubulcus ibis,"Cattle Egret, Western Cattle Egret",
3233,Bird,Butorides virescens,Green Heron,
3234,Bird,Egretta thula,Snowy Egret,
3235,Bird,Egretta tricolor,Tricolored Heron,
3236,Bird,Plegadis chihi,White-Faced Ibis,Species of Concern
3237,Bird,Plegadis falcinellus,Glossy Ibis,
3239,Bird,Picoides albolarvatus,White-Headed Woodpecker,
3240,Bird,Picoides dorsalis,American Three-Toed Woodpecker,
3241,Bird,Sphyrapicus nuchalis,Red-Naped Sapsucker,
3242,Bird,Sphyrapicus thyroideus,Williamson's Sapsucker,Species of Concern
3243,Bird,Aechmophorus clarkii,Clark's Grebe,
3244,Bird,Aechmophorus occidentalis,Western Grebe,Species of Concern
3245,Bird,Podiceps grisegena,Red-Necked Grebe,
3247,Bird,Psiloscops flammeolus,Flammulated Owl,
3248,Bird,Aegolius funereus,Boreal Owl,
3249,Bird,Athene cunicularia,Burrowing Owl,
3250,Bird,Bubo scandiacus,Snowy Owl,
3252,Bird,Megascops asio,Eastern Screech-Owl,
3253,Bird,Megascops kennicottii,Western Screech-Owl,
3256,Reptile,Coluber constrictor,Racer,
3257,Reptile,Pituophis catenifer sayi,Bullsnake,
3258,Reptile,Thamnophis elegans vagrans,Wandering Garter Snake,
3259,Reptile,Thamnophis sirtalis fitchi,Valley Garter Snake,
3260,Reptile,Phrynosoma hernandesi,Greater Short-Horned Lizard,
3261,Reptile,Sceloporus graciosus graciosus,Northern Sagebrush Lizard,Species of Concern
3262,Reptile,Crotalus viridis viridis,Prairie Rattlesnake,
3263,Reptile,Chrysemys picta bellii,Western Painted Turtle,
3264,Amphibian,Anaxyrus boreas boreas,Boreal Toad,
3265,Amphibian,Bufo woodhousii,Woodhouse's Toad,
3266,Amphibian,Pseudacris maculata,Boreal Chorus Frog,
3267,Amphibian,Rana catesbeiana,"American Bullfrog, Bullfrog",
3268,Amphibian,Rana luteiventris,Columbia Spotted Frog,Species of Concern
3269,Amphibian,Spea bombifrons,Plains Spadefoot,
3270,Amphibian,Spea intermontana,Great Basin Spadefoot,
3271,Amphibian,Ambystoma mavortium melanostictum,Blotched Tiger Salamander,
3272,Fish,Catostomus ardens,Utah Sucker,
3273,Fish,Catostomus catostomus,Longnose Sucker,
3274,Fish,Catostomus platyrhynchus,Mountain Sucker,
3275,Fish,Chasmistes liorus,June Sucker,Endangered
3276,Fish,Couesius plumbeus,Lake Chub,
3277,Fish,Gila atraria,Utah Chub,
3278,Fish,Rhinichthys osculus,Speckled Dace,
3279,Fish,Richardsonius balteatus,Redside Shiner,
3280,Fish,Oncorhynchus clarki behnkei,Finespotted Snake River Cutthroat Trout,
3281,Fish,Oncorhynchus clarkii bouvieri,Yellowstone Cutthroat Trout,
3282,Fish,Oncorhynchus clarkii lewisi,Westslope Cutthroat Trout,
3283,Fish,Oncorhynchus mykiss,Rainbow Trout,Threatened
3284,Fish,Prosopium williamsoni,Mountain Whitefish,
3285,Fish,Salvelinus fontinalis,"Aurora Trout, Brook Trout, Charr, Coaster Brook Trout, Salter, Sea Trout",
3286,Fish,Salvelinus namaycush,Lake Trout,
3287,Fish,Thymallus arcticus,Arctic Grayling,
3288,Fish,Cottus bairdii,Mottled Sculpin,Species of Concern
3289,Vascular Plant,Dodecatheon pulchellum var. pulchellum,"Beautiful Shooting Star, Shooting Star, Slimpod Shooting Star",
3290,Vascular Plant,Alisma triviale,"Northern Water Plantain, Northern Water-Plantain",
3291,Vascular Plant,Sagittaria cuneata,"Arumleaf Arrowhead, Arum-Leaf Arrowhead, Nothern Arrowhead, Wapato",
3293,Vascular Plant,Lemna trisulca,"Ivy-Leaf Duckweed, Star Duckweed",
3294,Vascular Plant,Lemna turionifera,Turion Duckweed,
3295,Vascular Plant,Lemna valdiviana,"Pale Duckweed, Valdivia Duckweed, Valdivia's Duckweed",
3296,Vascular Plant,Lysichiton americanus,American Skunkcabbage,
3297,Vascular Plant,Elodea canadensis,"Broad Waterweed, Canada Waterweed, Canadian Waterweed",
3298,Vascular Plant,Elodea nuttallii,Waterweed,
3299,Vascular Plant,Najas flexilis,"Nodding Waternymph, Slender Naiad, Wavy Waternymph",Species of Concern
3300,Vascular Plant,Triglochin palustre,Slender Arrow-Grass,
3301,Vascular Plant,Potamogeton alpinus,Alpine Pondweed,
3302,Vascular Plant,Potamogeton amplifolius,Largeleaf Pondweed,
3303,Vascular Plant,Potamogeton epihydrus,Ribbonleaf Pondweed,
3304,Vascular Plant,Potamogeton foliosus ssp. fibrillosus,Leafy Pondweed,
3305,Vascular Plant,Potamogeton foliosus ssp. foliosus,Leafy Pondweed,
3306,Vascular Plant,Potamogeton friesii,"Flat-Stalk Pondweed, Fries' Pondweed",
3307,Vascular Plant,Potamogeton gramineus,"Grassy Pondweed, Variableleaf Pondweed",
3308,Vascular Plant,Potamogeton natans,"Broadleaf Pondweed, Floating Pondweed, Floatingleaf Pondweed",
3309,Vascular Plant,Potamogeton nodosus,"Longleaf Pondweed, Long-Leaf Pondweed",
3310,Vascular Plant,Potamogeton obtusifolius,Bluntleaf Pondweed,
3311,Vascular Plant,Potamogeton praelongus,"Whitestem Pondweed, White-Stem Pondweed",
3312,Vascular Plant,Potamogeton pusillus,"Baby Pondweed, Small Pondweed",
3313,Vascular Plant,Potamogeton pusillus ssp. pusillus,Small Pondweed,
3314,Vascular Plant,Potamogeton pusillus ssp. tenuissimus,Small Pondweed,
3315,Vascular Plant,Potamogeton robbinsii,"Robbins Pondweed, Robbins' Pondweed",
3316,Vascular Plant,Potamogeton strictifolius,"Narrowleaf Pondweed, Straight-Leaf Pondweed",
3317,Vascular Plant,Potamogeton zosteriformis,Flat-Stemmed Pondweed,
3318,Vascular Plant,Stuckenia filiformis ssp. alpinus,"Fineleaf Pondweed, Northern Slender Pondweed",
3319,Vascular Plant,Stuckenia filiformis ssp. occidentalis,"Slender Pondweed, Western Fineleaf Pondweed",
3320,Vascular Plant,Stuckenia vaginata,Sheathed Pondweed,
3321,Vascular Plant,Zannichellia palustris,"Horned Pondweed, Horned Poolmat, Horned-Pondweed",
3322,Vascular Plant,Ruppia cirrhosa,Spiral Ditchgrass,
